Marcatemporal,EDAD,SEXO,estudios,TIPOTRABAJO,FUNCIONDESARROLLADA,GestionaEquipos,NumeroPersonas
2020/06/12 8:06:26 a. m. GMT,42,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto intermedio,Sí,1-5 personas
2020/06/12 9:33:00 a. m. GMT,29,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,No,
2020/06/12 9:33:52 a. m. GMT,33,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto intermedio,Sí,1-5 personas
2020/06/12 9:36:30 a. m. GMT,41,Hombre,Estudios universitarios,Cuenta ajena,Puesto directivo,Sí,+ de 20 personas
2020/06/12 10:52:23 a. m. GMT,27,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,No,
2020/06/12 11:38:03 a. m. GMT,52,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto intermedio,Sí,11-20 personas
2020/06/12 11:43:24 a. m. GMT,40,Hombre,Estudios universitarios,Cuenta ajena,Puesto intermedio,Sí,11-20 personas
2020/06/12 12:52:49 p. m. GMT,39,Mujer,Estudios universitarios,Cuenta ajena,Empleado,Sí,1-5 personas
2020/06/12 1:08:38 p. m. GMT,44,Mujer,Formación Profesional,Cuenta ajena,Empleado,Sí,+ de 20 personas
2020/06/12 1:19:24 p. m. GMT,42,Mujer,Formación Profesional,Cuenta ajena,Empleado,No,
2020/06/12 1:29:09 p. m. GMT,37,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Puesto directivo,No,
2020/06/12 1:29:17 p. m. GMT,48,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,No,
2020/06/12 1:38:53 p. m. GMT,32,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,No,
2020/06/12 2:04:55 p. m. GMT,43,Mujer,Estudios universitarios,Cuenta ajena,Empleado,Sí,6-10 personas
2020/06/12 2:19:46 p. m. GMT,46,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,No,
2020/06/12 3:17:23 p. m. GMT,41,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Independiente ,No,
2020/06/12 3:28:26 p. m. GMT,43,Mujer,Postgrado / Máster / Doctorado,Funcionario/a,Empleado,Sí,6-10 personas
2020/06/12 6:14:52 p. m. GMT,48,Hombre,Postgrado / Máster / Doctorado,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,+ de 20 personas
2020/06/13 7:11:35 a. m. GMT,42,Hombre,Estudios universitarios,Cuenta ajena,Puesto intermedio,Sí,6-10 personas
2020/06/13 7:24:38 a. m. GMT,53,Hombre,Bachiller / Secundaria,Funcionario/a,Empleado,No,
2020/06/13 7:56:55 a. m. GMT,41,Hombre,Estudios universitarios,Cuenta ajena,Empleado,Sí,6-10 personas
2020/06/13 8:07:23 a. m. GMT,38,Hombre,Formación Profesional,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,1-5 personas
2020/06/13 8:15:50 a. m. GMT,37,Hombre,Formación Profesional,Cuenta ajena,Empleado,No,
2020/06/13 8:30:06 a. m. GMT,40,Hombre,EGB / Primaria,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,1-5 personas
2020/06/13 8:41:19 a. m. GMT,38,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto intermedio,No,
2020/06/13 9:36:18 a. m. GMT,36,Hombre,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Gerencia,No,
2020/06/13 9:44:32 a. m. GMT,33,Hombre,Postgrado / Máster / Doctorado,"Cuenta propia (autónomo, emprendedor)",Todos ellos,Sí,1-5 personas
2020/06/13 9:55:15 a. m. GMT,44,Hombre,Formación Profesional,Cuenta ajena,Puesto intermedio,Sí,6-10 personas
2020/06/13 11:25:54 a. m. GMT,44,Hombre,Formación Profesional,Cuenta ajena,Empleado,Sí,1-5 personas
2020/06/13 11:46:02 a. m. GMT,55,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Gerencia,No,
2020/06/13 11:50:25 a. m. GMT,29,Mujer,Postgrado / Máster / Doctorado,"Cuenta propia (autónomo, emprendedor)",Arquitecta ,Sí,11-20 personas
